name,rssd_id,city,state,county
COMMONWEALTH NATIONAL BANK,578237,MOBILE,AL,MOBILE
PREMIER BANK OF THE SOUTH,1160509,CULLMAN,AL,CULLMAN
FIRST PROGRESSIVE BANK,177135,BREWTON,AL,ESCAMBIA
VALLEY STATE BANK,595337,RUSSELLVILLE,AL,FRANKLIN
"COMMERCIAL BANK OF OZARK, THE",522034,OZARK,AL,DALE
SWEET WATER STATE BANK,253730,SWEET WATER,AL,MARENGO
FIRST NATIONAL BANK,330239,HAMILTON,AL,MARION
FIRST SOUTHERN STATE BANK,246134,STEVENSON,AL,JACKSON
LIFESTEPS BANK & TRUST,1474309,UNION SPRINGS,AL,BULLOCK
PEOPLES INDEPENDENT BANK,1188987,BOAZ,AL,MARSHALL
FIRST CITIZENS BANK,541231,LUVERNE,AL,CRENSHAW
EVABANK,498531,EVA,AL,MORGAN
TOWN-COUNTRY UNITED BANK,180537,CAMDEN,AL,WILCOX
FIRST NATIONAL BANK OF IZARD COUNTY,379649,CALICO ROCK,AR,IZARD
CONNECT BANK,126049,STAR CITY,AR,LINCOLN
SIMMONS BANK,663245,PINE BLUFF,AR,JEFFERSON
MCGEHEE BANK,897648,MCGEHEE,AR,DESHA
COMMERCIAL BANK & TRUST COMPANY,23643,MONTICELLO,AR,DREW
EVOLVE BANK & TRUST,592448,WEST MEMPHIS,AR,CRITTENDEN
FIRST NATIONAL BANK,42448,PARAGOULD,AR,GREENE
COMMUNITY STATE BANK,378044,BRADLEY,AR,LAFAYETTE
ARVEST BANK,311845,FAYETTEVILLE,AR,WASHINGTON
CROSS BANK,989347,WYNNE,AR,CROSS
FIRST SERVICE BANK,458544,GREENBRIER,AR,FAULKNER
BANK OF LAKE VILLAGE,476445,LAKE VILLAGE,AR,CHICOT
BANK OF LITTLE ROCK,1397471,LITTLE ROCK,AR,PULASKI
BANK OZK,107244,LITTLE ROCK,AR,PULASKI
SOUTHERN BANCORP BANK,852544,ARKADELPHIA,AR,CLARK
WARREN BANK AND TRUST COMPANY,748441,WARREN,AR,BRADLEY
BANK OF ENGLAND,244149,ENGLAND,AR,LONOKE
PARTNERS BANK,335346,HELENA,AR,PHILLIPS
PETIT JEAN STATE BANK,2769570,MORRILTON,AR,CONWAY
CITIZENS BANK & TRUST COMPANY,192147,VAN BUREN,AR,CRAWFORD
TODAY'S BANK,1879016,HUNTSVILLE,AR,MADISON
ENCORE BANK,2594240,LITTLE ROCK,AR,PULASKI
FARMERS BANK AND TRUST COMPANY,33147,BLYTHEVILLE,AR,MISSISSIPPI
EAGLE BANK AND TRUST COMPANY,453446,LITTLE ROCK,AR,PULASKI
SIGNATURE BANK OF ARKANSAS,3350724,FAYETTEVILLE,AR,WASHINGTON
CHAMBERS BANK,517049,DANVILLE,AR,YELL
ARMOR BANK,168571,FORREST CITY,AR,ST. FRANCIS
MERCHANTS AND FARMERS BANK,644842,DUMAS,AR,DESHA
FIRST NATURALSTATE BANK,78241,MCGEHEE,AR,DESHA
RIVERSIDE BANK,977045,SPARKMAN,AR,DALLAS
CENTENNIAL BANK,456045,CONWAY,AR,FAULKNER
FNBC BANK,100843,ASH FLAT,AR,SHARP
GENERATIONS BANK,329345,ROGERS,AR,BENTON
RELYANCE BANK,49241,WHITE HALL,AR,JEFFERSON
"PEOPLES BANK, THE",712648,MAGNOLIA,AR,COLUMBIA
FIRST STATE BANK,10849,LONOKE,AR,LONOKE
BANK OF DELIGHT,455945,DELIGHT,AR,PIKE
DIAMOND BANK,27847,MURFREESBORO,AR,PIKE
FBT BANK & MORTGAGE,314444,FORDYCE,AR,DALLAS
FIRST SECURITY BANK,673440,SEARCY,AR,WHITE
"FIRST NATIONAL BANK OF FORT SMITH, THE",397540,FORT SMITH,AR,SEBASTIAN
FIRST COMMUNITY BANK,2596646,BATESVILLE,AR,INDEPENDENCE
FIRST FINANCIAL BANK,48374,EL DORADO,AR,UNION
STONE BANK,913146,MOUNTAIN VIEW,AR,STONE
RIVERWIND BANK,855143,AUGUSTA,AR,WOODRUFF
BANK OF CAVE CITY,629148,CAVE CITY,AR,SHARP
PRIORITY BANK,2059990,FAYETTEVILLE,AR,WASHINGTON
BANK OF 1889,864846,BERRYVILLE,AR,CARROLL
FIRST WESTERN BANK,34742,BOONEVILLE,AR,LOGAN
ANSTAFF BANK,261940,GREEN FOREST,AR,CARROLL
GATEWAY BANK,733540,RISON,AR,CLEVELAND
FIRST NATIONAL BANK OF EASTERN ARKANSAS,251745,FORREST CITY,AR,ST. FRANCIS
FIRST STATE BANK OF DEQUEEN,519146,DE QUEEN,AR,SEVIER
RIVERBANK,29476,POCAHONTAS,AR,RANDOLPH
CENTRAL BANK,3488579,LITTLE ROCK,AR,PULASKI
FIRST STATE BANK,114840,RUSSELLVILLE,AR,POPE
FARMERS BANK & TRUST COMPANY,12946,MAGNOLIA,AR,COLUMBIA
"MERCHANTS & PLANTERS BANK, THE",691042,CLARENDON,AR,MONROE
UNION BANK,86349,MENA,AR,POLK
LEGACY NATIONAL BANK,3306280,SPRINGDALE,AR,WASHINGTON
MERCHANTS & PLANTERS BANK,99143,NEWPORT,AR,JACKSON
FIDELITY BANK,848248,WEST MEMPHIS,AR,CRITTENDEN
"FARMERS & MERCHANTS BANK, THE",677644,STUTTGART,AR,ARKANSAS
FIRST NATIONAL BANK OF COMMERCE,799948,WALNUT RIDGE,AR,LAWRENCE
FIRST ARKANSAS BANK AND TRUST,466240,JACKSONVILLE,AR,PULASKI
HORATIO STATE BANK,458142,HORATIO,AR,SEVIER
BODCAW BANK,942847,STAMPS,AR,LAFAYETTE
UNION BANK & TRUST COMPANY,22048,MONTICELLO,AR,DREW
UNITED BANK,539377,SPRINGDALE,AR,WASHINGTON
PIGGOTT STATE BANK,173342,PIGGOTT,AR,CLAY
FARMERS BANK,325141,GREENWOOD,AR,SEBASTIAN
"MALVERN NATIONAL BANK, THE",906241,MALVERN,AR,HOT SPRING
BANK OF BEARDEN,311144,BEARDEN,AR,OUACHITA
PEOPLES BANK,2939391,SHERIDAN,AR,GRANT
"CITIZENS BANK, THE",856748,BATESVILLE,AR,INDEPENDENCE
BANK OF SALEM,931047,SALEM,AR,FULTON
SMACKOVER STATE BANK,676049,SMACKOVER,AR,UNION
LOGAN COUNTY BANK,932642,SCRANTON,AR,LOGAN
CS BANK,514048,EUREKA SPRINGS,AR,CARROLL
SECURITY BANK,741648,STEPHENS,AR,OUACHITA
FIRST STATE BANK OF WARREN,843542,WARREN,AR,BRADLEY
MISSION BANK,2963275,KINGMAN,AZ,MOHAVE
INTEGRO BANK,5758436,PHOENIX,AZ,MARICOPA
SOUTHWEST HERITAGE BANK,955977,SCOTTSDALE,AZ,MARICOPA
"WESTERN ALLIANCE TRUST COMPANY, NATIONAL ASSOCIATION",5805451,PHOENIX,AZ,MARICOPA
WESTERN ALLIANCE BANK,3138146,PHOENIX,AZ,MARICOPA
WEST VALLEY NATIONAL BANK,3480069,GOODYEAR,AZ,MARICOPA
SCOTTSDALE COMMUNITY BANK,5691319,SCOTTSDALE,AZ,MARICOPA
BNC NATIONAL BANK,2358769,GLENDALE,AZ,MARICOPA
GAINEY BUSINESS BANK,5758445,SCOTTSDALE,AZ,MARICOPA
USAA FEDERAL SAVINGS BANK,619877,PHOENIX,AZ,MARICOPA
ZENITH BANK & TRUST,5805442,SCOTTSDALE,AZ,MARICOPA
"GOLDWATER BANK, NATIONAL ASSOCIATION",3592047,PHOENIX,AZ,MARICOPA
REPUBLIC BANK OF ARIZONA,3596894,PHOENIX,AZ,MARICOPA
1ST BANK YUMA,3048487,YUMA,AZ,YUMA
GATEWAY COMMERCIAL BANK,3667132,MESA,AZ,MARICOPA
MURPHY BANK,855563,FRESNO,CA,FRESNO
CALIFORNIA PACIFIC BANK,50461,SAN FRANCISCO,CA,SAN FRANCISCO
CALPRIVATE BANK,3545258,LA JOLLA,CA,SAN DIEGO
PINNACLE BANK,3455227,MORGAN HILL,CA,SANTA CLARA
"CALIFORNIA BANK OF COMMERCE, NATIONAL ASSOCIATION",3076453,SAN DIEGO,CA,SAN DIEGO
COMMUNITY WEST BANK,703767,FRESNO,CA,FRESNO
RIVER CITY BANK,253468,SACRAMENTO,CA,SACRAMENTO
MONTEREY COUNTY BANK,297761,MONTEREY,CA,MONTEREY
PACIFIC VALLEY BANK,3293540,SALINAS,CA,MONTEREY
PACIFIC ALLIANCE BANK,3546862,SAN GABRIEL,CA,LOS ANGELES
BEACH CITIES COMMERCIAL BANK,5805424,IRVINE,CA,ORANGE
ROYAL BUSINESS BANK,3835454,LOS ANGELES,CA,LOS ANGELES
TUSTIN COMMUNITY BANK,1418255,TUSTIN,CA,ORANGE
POPPY BANK,3232204,SANTA ROSA,CA,SONOMA
OAK VALLEY COMMUNITY BANK,1864197,OAKDALE,CA,STANISLAUS
CATHAY BANK,595869,LOS ANGELES,CA,LOS ANGELES
SUMMIT BANK,351560,OAKLAND,CA,ALAMEDA
NEIGHBORHOOD NATIONAL BANK,2333140,EL CAJON,CA,SAN DIEGO
EAST WEST BANK,197478,PASADENA,CA,LOS ANGELES
GOLDEN STATE BANK,3224375,GLENDALE,CA,LOS ANGELES
INFINITY BANK,5193989,SANTA ANA,CA,ORANGE
1ST CAPITAL BANK,3594797,SALINAS,CA,MONTEREY
HANMI BANK,657365,LOS ANGELES,CA,LOS ANGELES
COMMERCEWEST BANK,3052813,IRVINE,CA,ORANGE
BENEFICIAL STATE BANK,3608751,OAKLAND,CA,ALAMEDA
BANK OF HOPE,671464,LOS ANGELES,CA,LOS ANGELES
BANC OF CALIFORNIA,494261,LOS ANGELES,CA,LOS ANGELES
SANTA CRUZ COUNTY BANK,3235410,SANTA CRUZ,CA,SANTA CRUZ
OPEN BANK,3357219,LOS ANGELES,CA,LOS ANGELES
NANO BANC,3635029,IRVINE,CA,ORANGE
AXOS BANK,2917317,SAN DIEGO,CA,SAN DIEGO
PREFERRED BANK,1918344,LOS ANGELES,CA,LOS ANGELES
SUMMIT STATE BANK,561574,SANTA ROSA,CA,SONOMA
CITY NATIONAL BANK,63069,LOS ANGELES,CA,LOS ANGELES
COMMUNITY BANK OF THE BAY,2483438,OAKLAND,CA,ALAMEDA
PACIFIC PREMIER BANK,431172,IRVINE,CA,ORANGE
GENESIS BANK,5620869,NEWPORT BEACH,CA,ORANGE
CAPITAL BANK AND TRUST COMPANY,2921659,IRVINE,CA,ORANGE
"BANK OF NEW YORK MELLON TRUST COMPANY, NATIONAL ASSOCIATION, THE",398668,LOS ANGELES,CA,LOS ANGELES
CITIZENS BUSINESS BANK,933966,ONTARIO,CA,SAN BERNARDINO
BALBOA THRIFT AND LOAN ASSOCIATION,696168,CHULA VISTA,CA,SAN DIEGO
BANK OF SAN FRANCISCO,3357385,SAN FRANCISCO,CA,SAN FRANCISCO
"GATEWAY BANK, F.S.B.",1493319,OAKLAND,CA,ALAMEDA
HERITAGE BANK OF COMMERCE,2209553,SAN JOSE,CA,SANTA CLARA
SMBC MANUBANK,930965,LOS ANGELES,CA,LOS ANGELES
COMMERCIAL BANK OF CALIFORNIA,3189063,IRVINE,CA,ORANGE
HCN BANK,183668,RIVERSIDE,CA,RIVERSIDE
CTBC BANK CORP. (USA),996260,LOS ANGELES,CA,LOS ANGELES
GOLDEN VALLEY BANK,3440803,CHICO,CA,BUTTE
"STATE STREET BANK AND TRUST COMPANY OF CALIFORNIA, NATIONAL ASSOCIATION",812164,IRVINE,CA,ORANGE
AMERICAN BUSINESS BANK,2734729,LOS ANGELES,CA,LOS ANGELES
GBC INTERNATIONAL BANK,972769,LOS ANGELES,CA,LOS ANGELES
UNITED SECURITY BANK,1162017,FRESNO,CA,FRESNO
"BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION",1443266,SAN FRANCISCO,CA,SAN FRANCISCO
DEUTSCHE BANK NATIONAL TRUST COMPANY,670560,LOS ANGELES,CA,LOS ANGELES
ENDEAVOR BANK,5192496,SAN DIEGO,CA,SAN DIEGO
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",1444021,SAN FRANCISCO,CA,SAN FRANCISCO
FIVE STAR BANK,2867337,ROSEVILLE,CA,PLACER
MISSION VALLEY BANK,3039636,SUN VALLEY,CA,LOS ANGELES
FIRST COMMERCIAL BANK (U.S.A),2332910,ALHAMBRA,CA,LOS ANGELES
UNIVERSAL BANK,208570,WEST COVINA,CA,LOS ANGELES
"EL DORADO SAVINGS BANK, F.S.B.",961576,PLACERVILLE,CA,EL DORADO
BANK OF STOCKTON,479268,STOCKTON,CA,SAN JOAQUIN
