name,rssd_id,city,state,county
FAIRVIEW STATE BANKING COMPANY,601032,FAIRVIEW,IL,FULTON
CITIZENS STATE BANK,356239,LENA,IL,STEPHENSON
FIDELITY BANK,597041,SAVANNA,IL,CARROLL
FIRST NATIONS BANK,277240,CHICAGO,IL,COOK
BRICKYARD BANK,270531,LINCOLNWOOD,IL,COOK
COMMUNITY NATIONAL BANK IN MONMOUTH,775241,MONMOUTH,IL,WARREN
CITIZENS BANK OF EDINBURG,915935,EDINBURG,IL,CHRISTIAN
"NORTHERN TRUST COMPANY, THE",210434,CHICAGO,IL,COOK
CIBC BANK USA,1842065,CHICAGO,IL,COOK
EVERGREEN BANK GROUP,2834759,OAK BROOK,IL,DUPAGE
HICKORY POINT BANK AND TRUST,550635,DECATUR,IL,MACON
DU QUOIN STATE BANK,823142,DU QUOIN,IL,PERRY
GRAND RIDGE NATIONAL BANK,875132,WHEATON,IL,DUPAGE
GN BANK,250476,CHICAGO,IL,COOK
FIRST SECURE STATE BANK,285348,WONDER LAKE,IL,MCHENRY
BYLINE BANK,129732,CHICAGO,IL,COOK
"FAIRFIELD NATIONAL BANK, THE",640246,FAIRFIELD,IL,WAYNE
1ST EQUITY BANK,2531562,SKOKIE,IL,COOK
BYRON BANK,325534,BYRON,IL,OGLE
REPUBLIC BANK OF CHICAGO,671334,OAK BROOK,IL,DUPAGE
FIRST SOUTHERN BANK,382649,MARION,IL,WILLIAMSON
WEST CENTRAL BANK,920733,ASHLAND,IL,CASS
DEVON BANK,347639,CHICAGO,IL,COOK
STATE BANK,266244,WATERLOO,IL,MONROE
MIDLAND FEDERAL SAVINGS AND LOAN ASSOCIATION,820477,BRIDGEVIEW,IL,COOK
OLD SECOND NATIONAL BANK,936136,AURORA,IL,KANE
"FIRST MID BANK & TRUST, NATIONAL ASSOCIATION",762447,MATTOON,IL,COLES
FIRST BANK AND TRUST COMPANY OF ILLINOIS,646444,PALATINE,IL,COOK
"BANKFINANCIAL, NATIONAL ASSOCIATION",454676,OLYMPIA FIELDS,IL,COOK
PROSPECT BANK,738143,PARIS,IL,EDGAR
"FEDERAL SAVINGS BANK, THE",2806877,CHICAGO,IL,COOK
BANK OF CALHOUN COUNTY,960047,HARDIN,IL,CALHOUN
METROPOLITAN CAPITAL BANK & TRUST,3153233,CHICAGO,IL,COOK
BUCKLEY STATE BANK,316934,BUCKLEY,IL,IROQUOIS
BANK OF BELLEVILLE,3374403,BELLEVILLE,IL,ST CLAIR
BUSEY BANK,416245,CHAMPAIGN,IL,CHAMPAIGN
NATIONAL BANK OF ST. ANNE,760340,SAINT ANNE,IL,KANKAKEE
"SERVBANK, SB",2140348,OSWEGO,IL,KENDALL
PRAIRIE COMMUNITY BANK,2598396,MARENGO,IL,MCHENRY
"GRANVILLE NATIONAL BANK, THE",560830,GRANVILLE,IL,PUTNAM
FIRST SECURITY TRUST AND SAVINGS BANK,592439,ELMWOOD PARK,IL,COOK
JERSEY STATE BANK,482446,JERSEYVILLE,IL,JERSEY
"LAKE FOREST BANK & TRUST COMPANY, NATIONAL ASSOCIATION",1917301,LAKE FOREST,IL,LAKE
"WINTRUST PRIVATE TRUST COMPANY, N.A.",2719810,LAKE FOREST,IL,LAKE
"SCHAUMBURG BANK & TRUST COMPANY, NATIONAL ASSOCIATION",2970657,SCHAUMBURG,IL,COOK
"ST. CHARLES BANK & TRUST COMPANY, NATIONAL ASSOCIATION",428547,SAINT CHARLES,IL,KANE
"STATE BANK OF THE LAKES, NATIONAL ASSOCIATION",595430,ANTIOCH,IL,LAKE
"OLD PLANK TRAIL COMMUNITY BANK, NATIONAL ASSOCIATION",3404207,NEW LENOX,IL,WILL
"NORTHBROOK BANK & TRUST COMPANY, NATIONAL ASSOCIATION",2938198,NORTHBROOK,IL,COOK
"VILLAGE BANK & TRUST, NATIONAL ASSOCIATION",2298995,ARLINGTON HEIGHTS,IL,COOK
"LIBERTYVILLE BANK & TRUST COMPANY, NATIONAL ASSOCIATION",2339795,LIBERTYVILLE,IL,LAKE
"WHEATON BANK & TRUST COMPANY, NATIONAL ASSOCIATION",2044811,WHEATON,IL,DUPAGE
"WINTRUST BANK, NATIONAL ASSOCIATION",2239288,CHICAGO,IL,COOK
"HINSDALE BANK & TRUST COMPANY, NATIONAL ASSOCIATION",2119773,HINSDALE,IL,DUPAGE
"CRYSTAL LAKE BANK & TRUST COMPANY, NATIONAL ASSOCIATION",2624400,CRYSTAL LAKE,IL,MCHENRY
"BEVERLY BANK & TRUST COMPANY, NATIONAL ASSOCIATION",3216017,CHICAGO,IL,COOK
"BARRINGTON BANK & TRUST COMPANY, NATIONAL ASSOCIATION",2508751,BARRINGTON,IL,COOK
IPAVA STATE BANK,760434,IPAVA,IL,FULTON
AMALGAMATED BANK OF CHICAGO,397531,CHICAGO,IL,COOK
CENTRAL BANK ILLINOIS,931038,GENESEO,IL,HENRY
FLANAGAN STATE BANK,979133,FLANAGAN,IL,LIVINGSTON
UNITED COMMUNITY BANK,439338,CHATHAM,IL,SANGAMON
INTERNATIONAL BANK OF CHICAGO,2006024,CHICAGO,IL,COOK
BMO HARRIS CENTRAL NATIONAL ASSOCIATION,3353154,ROSELLE,IL,DUPAGE
PULASKI SAVINGS BANK,490179,CHICAGO,IL,COOK
ITASCA BANK & TRUST CO.,812436,ITASCA,IL,DUPAGE
FIRST NATIONAL BANK AND TRUST COMPANY,32234,CLINTON,IL,DE WITT
"CENTRUST BANK, NATIONAL ASSOCIATION",3377235,NORTHBROOK,IL,COOK
SIGNATURE BANK,3437483,ROSEMONT,IL,COOK
FIRST BANK OF MANHATTAN,238139,MANHATTAN,IL,WILL
CITIZENS COMMUNITY BANK,2007991,MASCOUTAH,IL,ST CLAIR
FEDERATED BANK,640143,ONARGA,IL,IROQUOIS
COUNTRY TRUST BANK,449935,BLOOMINGTON,IL,MCLEAN
SOLUTIONS BANK,927134,FORRESTON,IL,OGLE
HARTSBURG STATE BANK,799939,HARTSBURG,IL,LOGAN
CITIZENS BANK OF CHATSWORTH,441135,CHATSWORTH,IL,LIVINGSTON
FIRST NATIONAL BANK OF PANA,860147,PANA,IL,CHRISTIAN
"FIRST FEDERAL SAVINGS BANK OF MASCOUTAH, ILLINOIS",966272,MASCOUTAH,IL,ST CLAIR
1NB BANK,614948,CARLYLE,IL,CLINTON
"CNB BANK & TRUST, NA",613343,CARLINVILLE,IL,MACOUPIN
FARMERS STATE BANK,921936,ELMWOOD,IL,PEORIA
LISLE SAVINGS BANK,133971,LISLE,IL,DUPAGE
FARMERS STATE BANK OF MEDORA,295646,MEDORA,IL,MACOUPIN
"FREDERICK COMMUNITY BANK, THE",687830,PAXTON,IL,FORD
"FIRST NATIONAL BANK OF AVA, THE",858443,AVA,IL,JACKSON
"FIRST BANKERS TRUST COMPANY, NATIONAL ASSOCIATION",344647,QUINCY,IL,ADAMS
UNITED TRUST BANK,2949970,PALOS HEIGHTS,IL,COOK
"STERLING FEDERAL BANK, FEDERAL SAVINGS BANK",867070,STERLING,IL,WHITESIDE
MILLENNIUM BANK,3547896,DES PLAINES,IL,COOK
FIRST NATIONAL BANK IN TAYLORVILLE,177443,TAYLORVILLE,IL,CHRISTIAN
FARMERS STATE BANK,477648,PITTSFIELD,IL,PIKE
PRAIRIE STATE BANK & TRUST,1222948,SPRINGFIELD,IL,SANGAMON
MUTUAL FEDERAL BANK,235174,CHICAGO,IL,COOK
WEST TOWN BANK & TRUST,857576,NORTH RIVERSIDE,IL,COOK
STATE BANK OF BEMENT,439730,BEMENT,IL,PIATT
TOWN CENTER BANK,3459216,FRANKFORT,IL,WILL
FOREST PARK NATIONAL BANK AND TRUST COMPANY,926632,FOREST PARK,IL,COOK
FARMERS & MERCHANTS BANK OF HUTSONVILLE,724940,HUTSONVILLE,IL,CRAWFORD
RUSHVILLE STATE BANK,49148,RUSHVILLE,IL,SCHUYLER
HOLCOMB BANK,568135,ROCHELLE,IL,OGLE
COMMUNITY BANK OF TRENTON,255547,TRENTON,IL,CLINTON
"INB, NATIONAL ASSOCIATION",925037,SPRINGFIELD,IL,SANGAMON
PEOPLES BANK & TRUST,922344,PANA,IL,CHRISTIAN
CROSSROADS BANK,158741,EFFINGHAM,IL,EFFINGHAM
MIDLAND STATES BANK,773247,EFFINGHAM,IL,EFFINGHAM
FWBANK,5435988,CHICAGO,IL,COOK
STATE BANK OF NAUVOO,783349,NAUVOO,IL,HANCOCK
LASALLE STATE BANK,956134,LASALLE,IL,LA SALLE
BANK OF SPRINGFIELD,248240,SPRINGFIELD,IL,SANGAMON
SCOTT STATE BANK,443634,BETHANY,IL,MOULTRIE
MARQUETTE BANK,716833,CHICAGO,IL,COOK
GOODFIELD STATE BANK,936837,GOODFIELD,IL,WOODFORD
DIETERICH BANK,771140,EFFINGHAM,IL,EFFINGHAM
"OLD EXCHANGE NATIONAL BANK OF OKAWVILLE, THE",411240,OKAWVILLE,IL,WASHINGTON
GREAT RIVERS BANK,857941,BARRY,IL,PIKE
WILLIAMSVILLE STATE BANK AND TRUST,365848,WILLIAMSVILLE,IL,SANGAMON
LAKESIDE BANK,201834,CHICAGO,IL,COOK
"ATLANTA NATIONAL BANK, THE",672238,ATLANTA,IL,LOGAN
PROVIDENCE BANK & TRUST,3280625,SOUTH HOLLAND,IL,COOK
BANK OF BLUFFS,695947,BLUFFS,IL,SCOTT
"BANKCHAMPAIGN, NATIONAL ASSOCIATION",436739,CHAMPAIGN,IL,CHAMPAIGN
FIRST COMMUNITY BANK AND TRUST,371232,BEECHER,IL,WILL
FARMERS NATIONAL BANK,933041,PROPHETSTOWN,IL,WHITESIDE
TOWN AND COUNTRY BANK MIDWEST,349343,QUINCY,IL,ADAMS
CHESTERFIELD STATE BANK,767246,CHESTERFIELD,IL,MACOUPIN
FIRST STATE BANK AND TRUST,899642,MONTICELLO,IL,PIATT
PAN AMERICAN BANK & TRUST,2343167,MELROSE PARK,IL,COOK
FIRST STATE BANK OF VAN ORIN,472148,VAN ORIN,IL,BUREAU
"WHEATON COLLEGE TRUST COMPANY, NATIONAL ASSOCIATION",2960788,WHEATON,IL,DUPAGE
"FIRST NATIONAL BANK IN AMBOY, THE",656032,AMBOY,IL,LEE
STATE BANK OF INDUSTRY,944935,INDUSTRY,IL,MCDONOUGH
DEWEY BANK,846132,DEWEY,IL,CHAMPAIGN
COMMUNITY BANK OF ELMHURST,2044820,ELMHURST,IL,DUPAGE
NORTH SHORE TRUST AND SAVINGS,775773,WAUKEGAN,IL,LAKE
FIRST BANK CHICAGO,804338,HIGHLAND PARK,IL,LAKE
"LITCHFIELD NATIONAL BANK, THE",372444,LITCHFIELD,IL,MONTGOMERY
STATE BANK OF WHITTINGTON,270148,BENTON,IL,FRANKLIN
"CITY NATIONAL BANK OF METROPOLIS, THE",298245,METROPOLIS,IL,MASSAC
CENTRAL FEDERAL SAVINGS AND LOAN ASSOCIATION,467470,CICERO,IL,COOK
PEOPLES NATIONAL BANK OF KEWANEE,823133,KEWANEE,IL,HENRY
"PEOPLES NATIONAL BANK, NATIONAL ASSOCIATION",375043,MOUNT VERNON,IL,JEFFERSON
LIBERTY BANK FOR SAVINGS,757377,CHICAGO,IL,COOK
MURPHY-WALL STATE BANK AND TRUST COMPANY,478140,PINCKNEYVILLE,IL,PERRY
"RESOURCE BANK, NATIONAL ASSOCIATION",235530,DEKALB,IL,DEKALB
PEOPLEFIRST BANK,3548763,JOLIET,IL,WILL
MIDAMERICA NATIONAL BANK,510938,CANTON,IL,FULTON
NORTH SIDE FEDERAL SAVINGS AND LOAN ASSOCIATION OF CHICAGO,375379,CHICAGO,IL,COOK
FIRST SECURE COMMUNITY BANK,2805535,SUGAR GROVE,IL,KANE
BANK & TRUST COMPANY,496845,LITCHFIELD,IL,MONTGOMERY
FIRST SECURE BANK AND TRUST CO.,25647,PALOS HILLS,IL,COOK
"BANK OF HILLSBORO, NATIONAL ASSOCIATION",659341,HILLSBORO,IL,MONTGOMERY
BANK OF PONTIAC,930442,PONTIAC,IL,LIVINGSTON
"STATE BANK OF PEARL CITY, THE",923949,PEARL CITY,IL,STEPHENSON
STATE BANK OF ST. JACOB,362940,SAINT JACOB,IL,MADISON
BUENA VISTA NATIONAL BANK,621441,CHESTER,IL,RANDOLPH
"BRADFORD NATIONAL BANK OF GREENVILLE, THE",720746,GREENVILLE,IL,BOND
FARMERS NATIONAL BANK OF GRIGGSVILLE,166849,GRIGGSVILLE,IL,PIKE
BANK OF FARMINGTON,976534,FARMINGTON,IL,FULTON
HEARTLAND BANK AND TRUST COMPANY,426534,BLOOMINGTON,IL,MCLEAN
CENTRAL STATE BANK,152440,CLAYTON,IL,ADAMS
MIDDLETOWN STATE BANK,770545,MIDDLETOWN,IL,LOGAN
MILLEDGEVILLE STATE BANK,895448,MILLEDGEVILLE,IL,CARROLL
"FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF CENTRAL ILLINOIS, S.B.",399973,SHELBYVILLE,IL,SHELBY
BANTERRA BANK,502849,MARION,IL,WILLIAMSON
"STILLMAN BANCCORP, N.A.",407645,STILLMAN VALLEY,IL,OGLE
OAKDALE STATE BANK,332345,OAKDALE,IL,WASHINGTON
"FNB COMMUNITY BANK,THE",137447,VANDALIA,IL,FAYETTE
FARMERS STATE BANK OF WESTERN ILLINOIS,653433,ALPHA,IL,HENRY
"FIRST NATIONAL BANK OF BROWNSTOWN, THE",207041,BROWNSTOWN,IL,FAYETTE
HOME STATE BANK/NATIONAL ASSOCIATION,696430,CRYSTAL LAKE,IL,MCHENRY
CARROLLTON BANK,1001648,CARROLLTON,IL,GREENE
FIRST NATIONAL BANK OF WATERLOO,145545,WATERLOO,IL,MONROE
1ST COMMUNITY BANK,338945,SHERRARD,IL,MERCER
"FIRST NATIONAL BANK OF CARMI, THE",209148,CARMI,IL,WHITE
FIRST STATE BANK,887340,MENDOTA,IL,LA SALLE
LEGENCE BANK,635840,ELDORADO,IL,SALINE
UNION SAVINGS BANK,817477,FREEPORT,IL,STEPHENSON
BANKORION,855741,ORION,IL,HENRY
"FIRST BANK AND TRUST COMPANY OF MURPHYSBORO, THE",303747,MURPHYSBORO,IL,JACKSON
"STATE BANK OF GENEVA, THE",991135,GENEVA,IL,KANE
"PETEFISH, SKILES & COMPANY",602543,VIRGINIA,IL,CASS
"FARMERS STATE BANK OF ALTO PASS, ILL.",856346,ALTO PASS,IL,UNION
"FIRST TRUST AND SAVINGS BANK OF WATSEKA, THE",193649,WATSEKA,IL,IROQUOIS
GERMANTOWN TRUST & SAVINGS BANK,830748,BREESE,IL,CLINTON
SECURITY SAVINGS BANK,708379,MONMOUTH,IL,WARREN
COLLINSVILLE BUILDING AND LOAN ASSOCIATION,658474,COLLINSVILLE,IL,MADISON
"PEOPLES STATE BANK OF NEWTON, ILLINOIS, THE",326344,NEWTON,IL,JASPER
BURLING BANK,1404883,CHICAGO,IL,COOK
AMERICAN COMMUNITY BANK & TRUST,2869162,WOODSTOCK,IL,MCHENRY
NORTHSIDE COMMUNITY BANK,2533119,GURNEE,IL,LAKE
HOMETOWN NATIONAL BANK,770639,LA SALLE,IL,LA SALLE
ANNA-JONESBORO NATIONAL BANK,855844,ANNA,IL,UNION
MIDWEST BANK,709143,MONMOUTH,IL,WARREN
WASHINGTON STATE BANK,480246,WASHINGTON,IL,TAZEWELL
"FIRST NATIONAL BANK IN TREMONT, THE",353546,TREMONT,IL,TAZEWELL
"HARVARD STATE BANK, THE",800134,HARVARD,IL,MCHENRY
COMMUNITY BANK OF EASTON,958231,EASTON,IL,MASON
SHELBY COUNTY STATE BANK,235446,SHELBYVILLE,IL,SHELBY
COMMUNITY STATE BANK,987231,GALVA,IL,HENRY
STATE BANK OF GRAYMONT,937339,GRAYMONT,IL,LIVINGSTON
EUREKA SAVINGS BANK,587677,LA SALLE,IL,LA SALLE
STATE STREET BANK AND TRUST COMPANY,352745,QUINCY,IL,ADAMS
"BEARDSTOWN SAVINGS, S.B.",835378,BEARDSTOWN,IL,CASS
FIRST EAGLE BANK,759045,CHICAGO,IL,COOK
NASHVILLE SAVINGS BANK,343770,NASHVILLE,IL,WASHINGTON
FIRST STATE BANK OF CAMPBELL HILL,698546,CAMPBELL HILL,IL,JACKSON
GUARDIAN SAVINGS BANK,823076,GRANITE CITY,IL,MADISON
BANK OF STRONGHURST,593940,STRONGHURST,IL,HENDERSON
FCB BANKS,1459717,COLLINSVILLE,IL,MADISON
BLACKHAWK BANK & TRUST,890742,MILAN,IL,ROCK ISLAND
HERITAGE BANK OF SCHAUMBURG,337340,SCHAUMBURG,IL,COOK
PERU FEDERAL SAVINGS BANK,305077,PERU,IL,LA SALLE
NORTH CENTRAL BANK,565536,HENNEPIN,IL,PUTNAM
PARKWAY BANK AND TRUST COMPANY,1001639,HARWOOD HEIGHTS,IL,COOK
CLAY COUNTY STATE BANK,498942,LOUISVILLE,IL,CLAY
"GIFFORD STATE BANK, THE",557438,GIFFORD,IL,CHAMPAIGN
PEOPLES BANK OF MACON,418436,MACON,IL,MACON
ANDERSON STATE BANK,916343,ONEIDA,IL,KNOX
OSB COMMUNITY BANK,725077,OTTAWA,IL,LA SALLE
"GERBER STATE BANK, THE",663638,ARGENTA,IL,MACON
STATE BANK,2791517,FREEPORT,IL,STEPHENSON
PEOPLES BANK OF KANKAKEE COUNTY,821036,BOURBONNAIS,IL,KANKAKEE
WATERMAN BANK,604640,WATERMAN,IL,DEKALB
APPLE RIVER STATE BANK,594938,APPLE RIVER,IL,JO DAVIESS
FORTRESS BANK,953535,PEORIA,IL,PEORIA
GOLD COAST BANK,3593307,CHICAGO,IL,COOK
FIRST SECURITY BANK,416339,MACKINAW,IL,TAZEWELL
COMMUNITY BANK,430344,WINSLOW,IL,STEPHENSON
"FIRST NATIONAL BANK OF ARENZVILLE, THE",593333,ARENZVILLE,IL,CASS
MORTON COMMUNITY BANK,825146,MORTON,IL,TAZEWELL
"HILL-DODGE BANKING COMPANY, THE",419947,WARSAW,IL,HANCOCK
"FIRST NATIONAL BANK OF ASSUMPTION, THE",604033,ASSUMPTION,IL,CHRISTIAN
AMERICAN METRO BANK,2533043,CHICAGO,IL,COOK
RARITAN STATE BANK,749943,RARITAN,IL,HENDERSON
WASHINGTON SAVINGS BANK,790271,EFFINGHAM,IL,EFFINGHAM
ANNA STATE BANK,691743,ANNA,IL,UNION
BANK OF BOURBONNAIS,308836,BOURBONNAIS,IL,KANKAKEE
SOUTHERNTRUST BANK,3316739,MARION,IL,WILLIAMSON
"FIRST NATIONAL BANK OF OKAWVILLE, THE",333940,OKAWVILLE,IL,WASHINGTON
NORTHWEST BANK OF ROCKFORD,685649,ROCKFORD,IL,WINNEBAGO
FIRST COMMUNITY BANK XENIA-FLORA,242,XENIA,IL,CLAY
FIRST FEDERAL SAVINGS BANK OF CHAMPAIGN-URBANA,346771,CHAMPAIGN,IL,CHAMPAIGN
GERMAN-AMERICAN STATE BANK,556936,GERMAN VALLEY,IL,STEPHENSON
STATE BANK OF DAVIS,45038,DAVIS,IL,STEPHENSON
LONGVIEW COMMUNITY BANK,830645,MOUNT PULASKI,IL,LOGAN
STATE BANK OF HERSCHER,879336,HERSCHER,IL,KANKAKEE
LENA STATE BANK,478533,LENA,IL,STEPHENSON
CORNERSTONE NATIONAL BANK & TRUST COMPANY,2929392,PALATINE,IL,COOK
FNBC BANK AND TRUST,608844,LA GRANGE,IL,COOK
"FIRST ROBINSON SAVINGS BANK, NATIONAL ASSOCIATION",660271,ROBINSON,IL,CRAWFORD
"FIRST NATIONAL BANK OF BEARDSTOWN, THE",368933,BEARDSTOWN,IL,CASS
HOYNE SAVINGS BANK,447070,CHICAGO,IL,COOK
"FIRST NATIONAL BANK OF LITCHFIELD, THE",370347,LITCHFIELD,IL,MONTGOMERY
FIRST NATIONAL BANK OF BROOKFIELD,465038,BROOKFIELD,IL,COOK
BELMONT BANK & TRUST COMPANY,3391718,CHICAGO,IL,COOK
PHILO EXCHANGE BANK,667346,PHILO,IL,CHAMPAIGN
FIRST COMMUNITY BANK OF HILLSBORO,2696180,HILLSBORO,IL,MONTGOMERY
SOUTHERN ILLINOIS BANK,2847085,JOHNSTON CITY,IL,WILLIAMSON
STATE BANK OF CHERRY,258539,CHERRY,IL,BUREAU
BANK OF RANTOUL,37949,RANTOUL,IL,CHAMPAIGN
PEOPLES STATE BANK OF COLFAX,33839,COLFAX,IL,MCLEAN
"FIRST NEIGHBOR BANK, NATIONAL ASSOCIATION",413646,TOLEDO,IL,CUMBERLAND
SPRING VALLEY CITY BANK,452841,SPRING VALLEY,IL,BUREAU
CHESTER NATIONAL BANK,231279,CHESTER,IL,RANDOLPH
UNION NATIONAL BANK,963730,ELGIN,IL,KANE
FARMERS STATE BANK OF EMDEN,860231,EMDEN,IL,LOGAN
VERMONT STATE BANK,187648,VERMONT,IL,FULTON
FIRST NATIONAL BANK IN PINCKNEYVILLE,340443,PINCKNEYVILLE,IL,PERRY
"CENTRAL SAVINGS, F.S.B.",615879,CHICAGO,IL,COOK
AMERICAN EAGLE BANK,3116519,SOUTH ELGIN,IL,KANE
PRINCEVILLE STATE BANK,670748,PRINCEVILLE,IL,PEORIA
TRUSTBANK,338646,OLNEY,IL,RICHLAND
GRUNDY BANK,715144,MORRIS,IL,GRUNDY
"CLAY CITY BANKING CO., THE",623548,CLAY CITY,IL,CLAY
FIRST NATIONAL BANK IN OLNEY,412845,OLNEY,IL,RICHLAND
FARMERS AND MERCHANTS STATE BANK OF BUSHNELL,321330,BUSHNELL,IL,MCDONOUGH
"FIRST NATIONAL BANK OF ALLENDALE, THE",990642,ALLENDALE,IL,WABASH
"BANK OF HERRIN, THE",835444,HERRIN,IL,WILLIAMSON
"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,CHICAGO,IL,COOK
FIRST STATE BANK OF BEECHER CITY,601041,BEECHER CITY,IL,EFFINGHAM
BANK OF YATES CITY,371849,YATES CITY,IL,KNOX
TOMPKINS STATE BANK,609832,AVON,IL,FULTON
CITIZENS STATE BANK OF MILFORD,771047,MILFORD,IL,IROQUOIS
UNION FEDERAL SAVINGS AND LOAN ASSOCIATION,656779,KEWANEE,IL,HENRY
FIRST TRUST BANK OF ILLINOIS,2718596,KANKAKEE,IL,KANKAKEE
ILLINI STATE BANK,180845,TONICA,IL,LA SALLE
FIRST STATE BANK OF OLMSTED,413347,OLMSTED,IL,PULASKI
TIME BANK,2316714,PARK RIDGE,IL,COOK
BANK OF O'FALLON,410748,O'FALLON,IL,ST CLAIR
FARMERS STATE BANK OF HOFFMAN,837541,HOFFMAN,IL,CLINTON
ANCHOR STATE BANK,655530,ANCHOR,IL,MCLEAN
"FIRST NATIONAL BANK OF RAYMOND, THE",421445,RAYMOND,IL,MONTGOMERY
VILLA GROVE STATE BANK,474245,VILLA GROVE,IL,DOUGLAS
MUNICIPAL TRUST AND SAVINGS BANK,460332,BOURBONNAIS,IL,KANKAKEE
CASEY STATE BANK,306337,CASEY,IL,CLARK
CAMP GROVE STATE BANK,302133,CAMP GROVE,IL,MARSHALL
IROQUOIS FARMERS STATE BANK,1007930,IROQUOIS,IL,IROQUOIS
NORTH COUNTY SAVINGS BANK,482370,RED BUD,IL,RANDOLPH
FIRST NATIONAL BANK OF NOKOMIS,330248,NOKOMIS,IL,MONTGOMERY
COMMUNITY STATE BANK OF ROCK FALLS,875048,ROCK FALLS,IL,WHITESIDE
COMMUNITY PARTNERS SAVINGS BANK,441078,SALEM,IL,MARION
FARMERS STATE BANK & TRUST CO.,510947,MOUNT STERLING,IL,BROWN
NORTH ADAMS STATE BANK,258146,URSA,IL,ADAMS
SAINTE MARIE STATE BANK,363442,SAINTE MARIE,IL,JASPER
"HAVANA NATIONAL BANK, THE",940731,HAVANA,IL,MASON
"MILFORD BUILDING AND LOAN ASSOCIATION, SB",994770,MILFORD,IL,IROQUOIS
COMMUNITY FIRST BANK OF THE HEARTLAND,273840,MOUNT VERNON,IL,JEFFERSON
"IUKA STATE BANK, THE",233442,SALEM,IL,MARION
LONGVIEW BANK,380533,OGDEN,IL,CHAMPAIGN
ALLIANCE COMMUNITY BANK,924937,PETERSBURG,IL,MENARD
STATE BANK OF TOULON,535940,TOULON,IL,STARK
BANK OF KAMPSVILLE,487142,KAMPSVILLE,IL,CALHOUN
FLORA BANK & TRUST,777441,FLORA,IL,CLAY
FIRST STATE BANK OF ST. PETER,426141,SAINT PETER,IL,FAYETTE
CITIZENS NATIONAL BANK OF ALBION,853747,ALBION,IL,EDWARDS
WARREN-BOYNTON STATE BANK,837448,NEW BERLIN,IL,SANGAMON
STREATOR HOME SAVINGS BANK,142179,STREATOR,IL,LA SALLE
CAMPUS STATE BANK,424437,CAMPUS,IL,LIVINGSTON
"FARMERS AND MERCHANTS NATIONAL BANK OF NASHVILLE, THE",513546,NASHVILLE,IL,WASHINGTON
FIRST STATE BANK SHANNON-POLO,232847,SHANNON,IL,CARROLL
MASON CITY NATIONAL BANK,108746,MASON CITY,IL,MASON
FIRST COMMUNITY BANK OF MOULTRIE COUNTY,459644,SULLIVAN,IL,MOULTRIE
TABLE GROVE STATE BANK,411549,TABLE GROVE,IL,FULTON
KENTLAND FEDERAL SAVINGS AND LOAN ASSOCIATION,382274,KENTLAND,IN,NEWTON
STATE BANK OF MEDORA,50144,MEDORA,IN,JACKSON
FARMERS AND MERCHANTS BANK,372640,LAOTTO,IN,DEKALB
GRANT COUNTY STATE BANK,933340,SWAYZEE,IN,GRANT
COMMUNITY FIRST BANK OF INDIANA,3165357,KOKOMO,IN,HOWARD
FIRST STATE BANK OF PORTER,87047,PORTER,IN,PORTER
TRI-COUNTY BANK & TRUST COMPANY,914545,ROACHDALE,IN,PUTNAM
FARMERS AND MECHANICS FEDERAL SAVINGS BANK,412872,BLOOMFIELD,IN,GREENE
FIRST FEDERAL SAVINGS BANK,107570,HUNTINGTON,IN,HUNTINGTON
BATH STATE BANK,308340,BATH,IN,FRANKLIN
LNB COMMUNITY BANK,176642,LYNNVILLE,IN,WARRICK
MERCHANTS BANK OF INDIANA,963945,CARMEL,IN,HAMILTON
HORIZON BANK,130541,MICHIGAN CITY,IN,LA PORTE
FIRST HARRISON BANK,716374,CORYDON,IN,HARRISON
COMMUNITY STATE BANK,322449,BROOK,IN,NEWTON
FIRST FEDERAL SAVINGS BANK,613679,EVANSVILLE,IN,VANDERBURGH
FOWLER STATE BANK,554343,FOWLER,IN,BENTON
CITIZENS BANK,44741,MOORESVILLE,IN,MORGAN
DEMOTTE STATE BANK,539340,DEMOTTE,IN,JASPER
CITIZENS STATE BANK OF NEW CASTLE,1000641,NEW CASTLE,IN,HENRY
"PEOPLES COMMUNITY BANK SB OF MONTICELLO, INDIANA",654579,MONTICELLO,IN,WHITE
ALLIANCE BANK,493741,FRANCESVILLE,IN,PULASKI
FREEDOM BANK,2858492,HUNTINGBURG,IN,DUBOIS
JACKSON COUNTY BANK,884442,SEYMOUR,IN,JACKSON
OLD NATIONAL BANK,208244,EVANSVILLE,IN,VANDERBURGH
GERMAN AMERICAN BANK,37640,JASPER,IN,DUBOIS
FIRST INTERNET BANK OF INDIANA,2758613,FISHERS,IN,HAMILTON
"FARMERS BANK, FRANKFORT, INDIANA, INC., THE",423449,FRANKFORT,IN,CLINTON
"UNITED FIDELITY BANK, FSB",391575,EVANSVILLE,IN,VANDERBURGH
"FIRST FINANCIAL BANK, NATIONAL ASSOCIATION",693345,TERRE HAUTE,IN,VIGO
CENTIER BANK,783648,MERRILLVILLE,IN,LAKE
CAMPBELL & FETTER BANK,398248,KENDALLVILLE,IN,NOBLE
FIRST STATE BANK OF MIDDLEBURY,967046,MIDDLEBURY,IN,ELKHART
BEDFORD FEDERAL SAVINGS BANK,946274,BEDFORD,IN,LAWRENCE
